GUID,จังหวัด,เขตเลือกตั้ง,เลขที่ใบรับใบสมัคร,คำนำหน้าชื่อ,ชื่อ,นามสกุล,ชื่อพรรค,อายุ,การศึกษาสูงสุด,อาชีพล่าสุด,ประกาศ/ไม่ประกาศ
3967BD46-B02D-41F5-9DB6-29DC5A53FFFE,กระบี่,2,22,นาย,กิตติศักดิ์,รุ่งโรจน์กิตติสิน,เศรษฐกิจใหม่,53,ปริญญาโท,ธุรกิจส่วนตัว,ประกาศ
BC581D84-1C30-4E23-92E0-BC44C2F93946,กระบี่,2,23,นาย,วัฒน์,เพ็ชรเครือ,คลองไทย,52,ปริญญาตรี,เกษตรกร,ประกาศ
9777E521-EEB5-45D6-A3EA-2ED8D64EA4F9,กระบี่,2,24,นาย,รุ่งโรจน์,รักกมล,กรีน,38,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
6568799B-5FAB-41B8-A5EE-45C7F719A3E4,กระบี่,2,25,นาย,ณรงค์,มาตย์โอสถ,ทางเลือกใหม่,42,ต่ำกว่าปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
20533670-CE60-4293-9F84-B4F0BD7C8216,กระบี่,2,26,นาย,เฉม,เชื้อทะเล,ไทยศรีวิไลย์,52,ต่ำกว่าปริญญาตรี,ค้าขาย,ประกาศ
C83736AD-9CCB-4A18-AB62-AFBEE39F0449,กระบี่,2,27,นาย,นิพร,จันทร์สีนาค,เพื่อแผ่นดิน,50,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
269019B3-D199-4EB4-A67E-ED97389BEEF6,กระบี่,2,28,นางสาว,กัญญารัตน์,เพชรทอง,พลังไทยรักไทย,26,ปริญญาตรี,พนักงานรัฐวิสาหกิจ,ประกาศ
8A994F75-A200-4739-9332-80911FC2F916,กระบี่,2,29,นาย,สนิท,ไชยสน,แผ่นดินธรรม,67,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
208C5287-443B-4B61-9265-4231A98120C7,กระบี่,2,30,นางสาว,ลัดดา,คงภักดี,ความหวังใหม่,40,ปริญญาตรี,ทำสวน,ประกาศ
96EB4816-1746-4AFB-852C-08426AD9AA69,กระบี่,2,31,นางสาว,ณัฐธิชา,คงโส,พลังไทสร้างชาติ,46,ต่ำกว่าปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
049506A3-AA1B-402E-BD09-EC65F010E8DE,กระบี่,2,32,นาย,ประสาร,ชาญน้ำ,ประชาธรรมไทย,42,ปริญญาตรี,รับเหมาก่อสร้าง,ประกาศ
AA42CFE5-5D68-4E91-846F-8902CF85A10F,กระบี่,2,33,นาง,สุวดี,เพ็ชรแขก,พลังศรัทธา,54,ต่ำกว่าปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
201093A8-CB9A-4B36-9730-D28B6B0207A5,กระบี่,2,34,นางสาว,ศิรินันท์,สระสม,ไทรักธรรม,30,ต่ำกว่าปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
356C3473-C16B-4BCA-BDB2-58D644D387C8,กรุงเทพมหานคร,1,1,นางสาว,ณัฐปภัสร์,วรธันย์ผาสุข,ไทยศรีวิไลย์,32,ปริญญาโท,พนักงานบริษัทเอกชน,ประกาศ
2BF12052-C361-4237-947B-982C77CE0BFC,กรุงเทพมหานคร,1,2,นาย,ธเนษฐ,เศรษฐาวาณิช,พลังท้องถิ่นไท,31,ปริญญาเอก,ที่ปรึกษาทางธุรกิจ,ประกาศ
F83A79BC-3648-464F-A85E-6229BD8F5F09,กรุงเทพมหานคร,1,3,นาง,เจิมมาศ,จึงเลิศศิริ,ประชาธิปัตย์,59,ปริญญาโท,-,ประกาศ
BF773DC4-CEC8-4E73-B71F-8A5F03BFCEC9,กรุงเทพมหานคร,1,4,นาย,กรีณรงค์,ชาตรี,ชาติไทยพัฒนา,51,ปริญญาโท,เจ้าของโรงงานผลิตแร่หินอุสาหกรรม,ประกาศ
07F5F9B3-269D-4B2D-A69F-D79C4F3ADAAC,กรุงเทพมหานคร,1,5,นาง,ดรัณภัทร,วิชชาวุธ,ประชาชนปฏิรูป,39,ปริญญาเอก,นักธุรกิจ,ประกาศ
04E0182C-4C8F-4764-B96D-02451C5A286D,กรุงเทพมหานคร,1,6,นาย,รวิโชติ,ธำรงนาวาสวัสดิ์,ประชาชาติ,38,ปริญญาโท,ผู้เชี่ยวชาญกรรมการการเลือกตั้ง,ประกาศ
314229B1-0660-4B69-87E1-74F968834401,กรุงเทพมหานคร,1,7,นาย,เตช,เตชะพัฒน์สิริ,รวมพลังประชาชาติไทย,31,ปริญญาตรี,ที่ปรึกษาาด้านเทคโนโลยีและการตลาดสมัยใหม่,ประกาศ
6BCB6DE7-034F-4C8E-868C-C31DDB4482B4,กรุงเทพมหานคร,1,8,นาย,อนุสรณ์,เกษมวรรณ,ชาติพัฒนา,59,ปริญญาโท,สื่อมวลชน,ไม่ประกาศ
BCCDEB47-A1DA-4231-999E-7D593D2D47A3,กรุงเทพมหานคร,1,9,นางสาว,ลีลาวดี,วัชโรบล,เพื่อไทย,52,ปริญญาเอก,อาจารย์ประจำมหาวิทยาลัยชินวัตร,ประกาศ
FA7A11E6-A48C-47A2-A556-0F83359D7F74,กรุงเทพมหานคร,1,10,นาย,ณัฏฐ์พงษ์,ยงใจยุทธ,เพื่อชาติ,33,ปริญญาโท,ธุรกิจส่วนตัว,ประกาศ
55C7AF37-8463-4D53-AE69-B28999DC192E,กรุงเทพมหานคร,1,11,นางสาว,นพมาศ,การุญ,อนาคตใหม่,34,ปริญญาโท,ธุรกิจส่วนตัว,ประกาศ
E4CFBFBD-3183-4CEF-9499-9DB7FE41D697,กรุงเทพมหานคร,1,12,นาย,กอบชัย,ชยามฤต,รักษ์ผืนป่าประเทศไทย,37,ปริญญาโท,นักศึกษา,ประกาศ
D6373D04-2DB6-4601-902B-6403FF0C6CA3,กรุงเทพมหานคร,1,13,นาย,ทวีพร,อนุตรพงษ์สกุล,ภูมิใจไทย,55,ปริญญาตรี,สมาชิกสภาเขตพระนคร,ประกาศ
CDFA44B9-C62D-4E8C-ADDA-994C1A8F0E8F,กรุงเทพมหานคร,1,14,นางสาว,กานต์กนิษฐ์,แห้วสันตติ,พลังประชารัฐ,42,ปริญญาโท,ธุรกิจส่วนตัว,ประกาศ
DF764C34-3720-4CDC-8B48-D53848C2B7B5,กรุงเทพมหานคร,1,15,นาย,ธนชาต,เมฆวันวรา,ประชาภิวัฒน์,56,ปริญญาโท,ธุรกิจเครือข่าย,ประกาศ
F6173295-9BB1-44AF-BED1-42C7F4671126,กรุงเทพมหานคร,1,16,นาย,วิเชียร,โมไนยกุล,เพื่อแผ่นดิน,55,ปริญญาโท,ทนายความและผู้สอบบัญชีรับอนุญาต,ประกาศ
26B403C5-EAF3-466A-8E6C-CCB124B0E90C,กรุงเทพมหานคร,1,17,ร้อยเอก,วัชราภรณ์,สังวรโยธิน,เสรีรวมไทย,64,ปริญญาตรี,เกษตรกร,ประกาศ
47AD25C9-FF42-49C8-8B2C-5C29C39B5B30,กรุงเทพมหานคร,1,18,นางสาว,วิสุดา,จงสกุลชัย,ประชานิยม,31,ต่ำกว่าปริญญาตรี,ลูกค้าสัมพันธ์,ประกาศ
5D586E40-C7FB-4B4B-93CC-36F1AF873C68,กรุงเทพมหานคร,1,19,นาย,เรียบ,ประทุมฝาง,ถิ่นกาขาวชาววิไล,67,ปริญญาโท,ข้าราชการครูกทม.,ประกาศ
1B63DED8-4BCB-4936-B4FC-0698C1BA473F,กรุงเทพมหานคร,1,20,นาย,ณัฐพล,หวังชูเชิดกุล,ภราดรภาพ,41,ปริญญาโท,นักธุรกิจ,ประกาศ
357C2185-68A4-49DA-9644-1299867F11AB,กรุงเทพมหานคร,1,21,นาย,มงคล,เสมอภาพ,เศรษฐกิจใหม่,66,ปริญญาโท,ที่ปรึกษารัฐมนตรีช่วยว่าการกระทรวงศึกษาธิการและเลขาคณะกรรมการการศึกษาสภาผู้แทนราษฏร,ประกาศ
6660FCDB-D703-440F-A3E2-772F6D7314CA,กรุงเทพมหานคร,1,22,นาง,วัลลี,แอสุวรรณ์,มติประชา,67,ต่ำกว่าปริญญาตรี,ว่างงาน(เกษียณอายุราชการ),ประกาศ
52BF9742-D95A-4D2D-B983-904D2EB1B047,กรุงเทพมหานคร,1,23,จ่าเอก,พิพัฒน์,วงษ์ฤทธิ์,แผ่นดินธรรม,63,ต่ำกว่าปริญญาตรี,พนักงานรัฐวิสาหกิจ การไฟฟ้านครหลวง,ประกาศ
A2F59DD1-7F77-4E67-92A3-937653763FED,กรุงเทพมหานคร,1,24,นาย,หฤษฎ์,หนูเอี่ยม,พลังชาติไทย,54,ปริญญาตรี,ประกอบธุรกิจส่วนตัว,ประกาศ
C197B2AB-C98E-45AC-82F9-5AA5F0A2EC1B,กรุงเทพมหานคร,1,25,นาย,พงศ์ชิษณุ,พีรดาจิราวัฒน์,ครูไทยเพื่อประชาชน,39,ปริญญาโท,โมเดลิ่ง เอเจนซี่,ประกาศ
CEDA7723-B253-47A5-9DC0-024DCF6CDD08,กรุงเทพมหานคร,1,26,นางสาว,พัทธ์ฐิชา,ณิชยรวีพัชร์,มหาชน,38,ปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
93CD9025-62E3-455F-B8CD-1DF98A78C453,กรุงเทพมหานคร,1,27,นางสาว,กันญภัทร,นครังสุ,พลังศรัทธา,42,ปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
81F25E94-7B84-4B4A-9AB4-53D952DBCE1B,กรุงเทพมหานคร,1,28,นางสาว,หนึ่งฤทัย,หัสดิน,ประชาธรรมไทย,39,ปริญญาโท,ธุรกิจส่วนตัว,ประกาศ
16FB4C74-49CC-410B-9C0D-D1F75BA1E0FD,กรุงเทพมหานคร,1,29,นาง,อรุณรัตน์,ศิลปธรรมธาดา,ภาคีเครือข่ายไทย,53,ปริญญาตรี,-,ประกาศ
9ECFCE23-AF8A-4B68-8EDF-00123C9D285A,กรุงเทพมหานคร,1,30,นาย,ภฤศ,วัฒนธาดากุล,ไทรักธรรม,49,ต่ำกว่าปริญญาตรี,ช่างแต่งหน้า,ประกาศ
CABC3A44-3029-4DC9-AB6A-AE61F9D5DC32,กรุงเทพมหานคร,2,1,นาย,ณัฏฐพัชร์,กวินกนกกัลป์,รวมพลังประชาชาติไทย,27,ปริญญาตรี,พนักงานบริษัทเอกชน,ประกาศ
F40EF9E6-6A14-416C-BA79-762CDBBC7122,กรุงเทพมหานคร,2,2,นางสาว,พัชรินทร์,ซำศิริพงษ์,พลังประชารัฐ,31,ปริญญาเอก,นักวิชาการอิสระ,ประกาศ
8B8BB0EB-1CB4-4DAB-995B-B95FC6BC939E,กรุงเทพมหานคร,2,3,นางสาว,อุไร,อนันตสิน,ภูมิใจไทย,54,ปริญญาเอก,ธุรกิจส่วนตัว,ประกาศ
A0CBBF4F-5D83-431A-8D40-B2B3BD9D6A93,กรุงเทพมหานคร,2,4,นางสาว,อรอนงค์,กาญจนชูศักดิ์,ประชาธิปัตย์,56,ปริญญาโท,นักการเมือง,ประกาศ
DC5E2F40-A2A5-4AF8-8FD2-3C9EB5115059,กรุงเทพมหานคร,2,5,นางสาว,พัสวี,ภัทรพุทธากร,อนาคตใหม่,44,ปริญญาโท,"เจ้าของกิจการ,นักธุรกิจ,อาจารย์พิเศษ",ประกาศ
802E1550-3A42-4513-86F7-DCA8360E176B,กรุงเทพมหานคร,2,6,นาง,ชัญญา,บุญเกิด,เสรีรวมไทย,59,ปริญญาตรี,อาชีอิสระ,ประกาศ
4CF5C20E-E054-4CE6-BF01-E5C2B8A6ECAB,กรุงเทพมหานคร,2,7,นางสาว,ภัทรกันย์,กิจวิชา,เพื่อชาติ,29,ปริญญาโท,นิติกร,ประกาศ
EFE518C5-BA20-460D-9590-98FE1945D15A,กรุงเทพมหานคร,2,8,นาง,พิมพาภรณ์,พานทอง,ประชาชาติ,43,ปริญญาโท,นักธุรกิจ,ประกาศ
FB5F449D-54F4-4D12-84E9-08FE8194FF5C,กรุงเทพมหานคร,2,9,นาย,นพรุจ,วรชิตวุฒิกุล,พลังประชาธิปไตย,49,ปริญญาโท,ส่วนตัว,ประกาศ
39CE07CA-B977-4015-BAB5-EEF766DE1625,กรุงเทพมหานคร,2,10,หม่อมหลวง,ณัฏฐพล,เทวกุล,ไทยรักษาชาติ ,49,ปริญญาโท,ธุรกิจส่วนตัว,ประกาศ
9BB4E202-F560-48D6-99A9-27CBEAFE6988,กรุงเทพมหานคร,2,11,นางสาว,ศิรภัสสร,พิเนตร,ชาติไทยพัฒนา,44,ต่ำกว่าปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
A3C2948B-5A3B-48E9-BD4E-CA1AF12934E5,กรุงเทพมหานคร,2,12,นางสาว,นิธินันท์,นิธิวชิระพงศ์,ประชาชนปฏิรูป,62,ปริญญาโท,ผู้ประกอบการ,ประกาศ
846B8095-CAC7-46A4-B7E5-95091EA68EB4,กรุงเทพมหานคร,2,13,นางสาว,ปุณฐ์นัฐย์ดา,อิสริยาพร,ชาติพัฒนา,40,ปริญญาเอก,ธุรกิจส่วนตัว,ประกาศ
55F0E51A-69FC-4ECB-938B-186BA3E655EC,กรุงเทพมหานคร,2,14,นาย,พัชรวีร์,พรหมวงศ์,เพื่อแผ่นดิน,38,ปริญญาโท,นักวิจัยอิสระด้านเศรษฐศาสตร์และครูสอนหมากรุกสากล,ไม่ประกาศ
439FF576-E808-40BD-B3B6-5CD1BB6C6EBE,กรุงเทพมหานคร,2,15,นาย,ธีระ,ธรรมลักขณา,ประชาภิวัฒน์,62,ปริญญาโท,ผู้ตรวจสอบบัญชีรับอนุญาต,ประกาศ
1E696916-5F39-4284-868F-D2AD7FDA9E26,กรุงเทพมหานคร,2,16,นาย,รชต,ตันตระกูล,ถิ่นกาขาวชาววิไล,73,ต่ำกว่าปริญญาตรี,วิทยากรรับเชิญ,ประกาศ
39899E91-43CB-47E6-AED1-3C10E4417A23,กรุงเทพมหานคร,2,17,นาย,ธนบุรี,วสุธาวาณิช,ภราดรภาพ,26,ต่ำกว่าปริญญาตรี,พ่อครัว,ประกาศ
82A5648B-CFFB-4FD3-82C6-1961361F4A31,กรุงเทพมหานคร,2,18,นางสาว,สิริมา,ธารีจารุ,รักษ์ผืนป่าประเทศไทย,58,ปริญญาตรี,แม่บ้าน,ประกาศ
B326F01B-F76C-46F1-B4B4-5CA334D37736,กรุงเทพมหานคร,2,19,นาย,ชัยวัฒน์,ชื่นสุขสันต์,เศรษฐกิจใหม่,57,ต่ำกว่าปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
B3108A84-C18B-4447-B213-4E9CD987E063,กรุงเทพมหานคร,2,20,นาย,สุรวัชร์,ทองรอด,ครูไทยเพื่อประชาชน,59,ปริญญาโท,ลูกจ้างสังกัด สสว.,ประกาศ
3298B149-7E57-4589-90E9-57EEACA690F8,กรุงเทพมหานคร,2,21,นาย,เทียนชัย,วงศ์นวภรณ์,แผ่นดินธรรม,53,ปริญญาตรี,พนักงานบริษัท,ประกาศ
E684F4AE-8A2B-41CE-817B-AF823292547C,กรุงเทพมหานคร,2,22,นาย,ภควุฒิ,งามพัฒนพงศ์ชัย,มติประชา,46,ปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
C22D9987-5B89-42F7-860F-C5371656DE30,กรุงเทพมหานคร,2,23,นาย,ภูริต,มนูปรัญญานนท์,พลังชาติไทย,55,ปริญญาตรี,พนักงานผู้บริหารบริษัทเอกชน,ประกาศ
